user_id,age,gender,country,city,device_type,subscription_type,content_id,content_genre,content_duration,content_rating,campaign_id,ad_type,ad_placement,advertiser_category,bid_amount,impressions,clicks,conversions,clicked,session_duration,pages_viewed,cpm,cpc,revenue,cost,timestamp,hour,day_of_week,month,ctr,cvr,engagement_rate,user_engagement_score,ad_frequency,content_affinity,device_category_interaction,time_of_day,is_weekend,rolling_7d_revenue,rolling_7d_ctr,avg_session_duration_user
943560,19.0,F,FR,Paris,mobile,free,3186,sports,39.9,PG-13,5908,banner,pre_roll,tech,8.48,4,0,0,0,26.9,2,10.89,1.16,0.02,0.04,2024-03-01 00:00:00,0,4,3,0.0,0.0,0.5,0.4637716666666666,4,0.0,mobile_tech,late_night,0,268.1550148431532,0.0477453580901856,26.9
377258,29.0,M,IN,Mumbai,mobile,family,8080,comedy,74.9,G,5827,interstitial,post_roll,retail,12.13,8,1,0,1,69.6,1,9.09,1.39,26.08467219873664,0.28,2024-03-01 00:00:00,0,4,3,0.125,0.0,0.25,0.6884453333333334,8,0.125,mobile_retail,late_night,0,268.1550148431532,0.0477453580901856,69.6
379968,71.0,M,IN,Hyderabad,desktop,family,1868,documentary,26.8,R,5909,video,mid_roll,travel,5.14,3,0,0,0,0.5,3,11.5,1.34,0.01,0.03,2024-03-01 00:00:00,0,4,3,0.0,0.0,1.0,0.2779266666666666,3,0.0,desktop_travel,late_night,0,268.1550148431532,0.0477453580901856,14.05
598776,58.0,M,UK,London,mobile,free,6688,documentary,54.2,G,5437,interstitial,in_feed,healthcare,4.89,6,0,0,0,42.1,5,1.43,0.77,0.0,0.01,2024-03-01 00:00:00,0,4,3,0.0,0.0,0.8333333333333334,0.7085436666666667,6,0.0,mobile_healthcare,late_night,0,268.1550148431532,0.0477453580901856,42.1
336484,35.0,F,DE,Berlin,smart_tv,free,3715,documentary,6.4,PG-13,5654,native,pre_roll,auto,7.48,4,0,0,0,0.5,1,9.04,1.43,0.01,0.04,2024-03-01 00:00:00,0,4,3,0.0,0.0,0.25,0.1674656666666666,4,0.0,smart_tv_auto,late_night,0,268.1550148431532,0.0477453580901856,0.5
918530,20.0,F,DE,Berlin,mobile,free,8061,drama,28.7,PG-13,5149,interstitial,post_roll,gaming,7.6,10,0,0,0,18.9,2,8.89,1.9,0.04,0.09,2024-03-01 00:00:00,0,4,3,0.0,0.0,0.2,0.3804076666666666,10,0.0,mobile_gaming,late_night,0,268.1550148431532,0.0477453580901856,18.9
139198,64.0,M,US,Chicago,mobile,free,2394,news,45.2,PG-13,5788,audio,sidebar,tech,6.13,8,0,0,0,9.1,1,8.66,1.52,0.03,0.07,2024-03-01 00:00:00,0,4,3,0.0,0.0,0.125,0.2396643333333333,8,0.0,mobile_tech,late_night,0,268.1550148431532,0.0477453580901856,9.1
135214,47.0,F,BR,Rio de Janeiro,tablet,basic,2551,music,47.3,R,5710,banner,sidebar,gaming,10.45,8,1,0,1,9.4,2,15.56,1.37,0.87,0.33,2024-03-01 00:00:00,0,4,3,0.125,0.0,0.375,0.4351073333333333,8,0.125,tablet_gaming,late_night,0,268.1550148431532,0.0477453580901856,9.4
756562,45.0,Unknown,US,Austin,tablet,basic,3049,drama,11.1,G,5865,native,pre_roll,cpg,3.74,11,0,0,0,6.8,2,12.27,1.43,0.05,0.13,2024-03-01 00:00:00,0,4,3,0.0,0.0,0.1818181818181818,0.2720356666666667,11,0.0,tablet_cpg,late_night,0,268.1550148431532,0.0477453580901856,6.8
242074,36.0,F,US,New York,mobile,premium,4981,documentary,10.3,PG-13,5321,interstitial,in_feed,healthcare,3.28,1,0,0,0,0.5,1,11.38,0.42,0.0,0.01,2024-03-01 00:00:00,0,4,3,0.0,0.0,1.0,0.1674656666666666,1,0.0,mobile_healthcare,late_night,0,268.1550148431532,0.0477453580901856,0.5
